\bscra	𝓪
\rightarrowgtr	⭃
\:arrow_down_small:	🔽
\:tropical_fish:	🐠
\:fire_engine:	🚒
\:large_brown_circle:	🟤
\ttfive	𝟻
\dsol	⧶
\:repeat:	🔁
\:unicorn_face:	🦄
\itGamma	𝛤
\itg	𝑔
\odot	⊙
\bisansS	𝙎
\boxminus	⊟
\:tired_face:	😫
\bfBeta	𝚩
\Pi	Π
\^z	ᶻ
\:petri_dish:	🧫
\gtrapprox	⪆
\lessgtr	≶
\frakE	𝔈
\overleftrightarrow	⃡
\bfrakX	𝖃
\:earth_americas:	🌎
\trademark	™
\:first_quarter_moon_with_face:	🌛
\:repeat_one:	🔂
\bbfour	𝟜
\bscrY	𝓨
\:bird:	🐦
\rightarrowsupset	⭄
\:earth_asia:	🌏
\itu	𝑢
\bio	𝒐
\:deaf_person:	🧏
\eqcirc	≖
\quarternote	♩
\measangleldtosw	⦫
\frakJ	𝔍
\bsansvarepsilon	𝝴
\:game_die:	🎲
\:clock630:	🕡
\lgwhtsquare	⬜
\:ox:	🐂
\wedgeq	≙
\:page_with_curl:	📃
\hrectangleblack	▬
\hookrightarrow	↪
\supsetneq	⊋
\nis	⋼
\5/6	⅚
\:police_car:	🚓
\:badger:	🦡
\bbX	𝕏
\:clock1230:	🕧
\:santa:	🎅
\succneqq	⪶
\precneq	⪱
\diamondleftarrow	⤝
\bbY	𝕐
\bisansbeta	𝞫
\:cat:	🐱
\:anguished:	😧
\bfTau	𝚻
\:station:	🚉
\:thought_balloon:	💭
\bsansZ	𝗭
\:loop:	➿
\biphi	𝝓
\bfraka	𝖆
\trnsa	ɒ
\^d	ᵈ
\Gamma	Γ
\preceq	⪯
\bscrM	𝓜
\:tooth:	🦷
\:bride_with_veil:	👰
\tosa	⤩
\otimeslhrim	⨴
\inglst	ʖ
\^u	ᵘ
\:anatomical_heart:	🫀
\:warning:	⚠
\ulblacktriangle	◤
\:first_quarter_moon:	🌓
\bil	𝒍
\euro	€
\circ	∘
\bisansnabla	𝞩
\biTheta	𝜣
\mdwhtsquare	◻
\uplus	⊎
\leftdbkarrow	⤎
\itb	𝑏
\numero	№
\carriagereturn	↵
\gsiml	⪐
\scrK	𝒦
\bsanso	𝗼
\:rat:	🐀
\DJ	Đ
\:up:	🆙
\scrq	𝓆
\:car:	🚗
\:pig2:	🐖
\bfOmega	𝛀
\trny	ʎ
\^3	³
\:globe_with_meridians:	🌐
\:black_circle:	⚫
\bfrakE	𝕰
\:razor:	🪒
\:ram:	🐏
\:third_place_medal:	🥉
\barcup	⩂
\bftheta	𝛉
\:busstop:	🚏
\:boy:	👦
\simrdots	⩫
\ttM	𝙼
\enclosediamond	⃟
\bisansAlpha	𝞐
\:gorilla:	🦍
\^5	⁵
\rightleftharpoonsup	⥨
\ltcir	⩹
\varhexagonlrbonds	⌬
\bir	𝒓
\scrR	ℛ
\:money_mouth_face:	🤑
\:video_camera:	📹
\:blue_heart:	💙
\cap	∩
\Kappa	Κ
\vdash	⊢
\bib	𝒃
\because	∵
\barcap	⩃
\elinters	⏧
\bfvarpi	𝛡
\Times	⨯
\:pizza:	🍕
\:chestnut:	🌰
\:baby_bottle:	🍼
\varniobar	⋽
\:fuelpump:	⛽
\^iota	ᶥ
\biguplus	⨄
\nVleftrightarrow	⇼
\itr	𝑟
\:hugging_face:	🤗
\lrarc	◞
\frakQ	𝔔
\isansg	𝘨
\setminus	∖
\:point_right:	👉
\doublepipe	ǂ
\bsansone	𝟭
\:mosquito:	🦟
\:relieved:	😌
\rightanglearc	⊾
\blkvertoval	⬮
\:person_with_blond_hair:	👱
\bisansPi	𝞟
\longleftarrow	⟵
\:no_pedestrians:	🚷
\downzigzagarrow	↯
\dj	đ
\supedot	⫄
\biX	𝑿
\scrd	𝒹
\ppprime	‴
\bsansg	𝗴
\bfomega	𝛚
\:laughing:	😆
\notgreaterless	≹
\:oncoming_taxi:	🚖
\mdsmblksquare	◾
\:sunflower:	🌻
\:handbag:	👜
\:wind_chime:	🎐
\bisansxi	𝞷
\_5	₅
\measangleurtone	⦬
\bscrI	𝓘
\biy	𝒚
\bisansz	𝙯
\sansQ	𝖰
\:banana:	🍌
\:open_hands:	👐
\:tada:	🎉
\rho	ρ
\:blueberries:	🫐
\bscrK	𝓚
\:luggage:	🧳
\:face_with_monocle:	🧐
\itxi	𝜉
\bfpi	𝛑
\:popcorn:	🍿
\:martial_arts_uniform:	🥋
\bfrakh	𝖍
\emptysetobar	⦱
\bsansPsi	𝝭
\leftthreetimes	⋋
\bfrakc	𝖈
\jupiter	♃
\tta	𝚊
\_a	ₐ
\bumpeq	≏
\:palm_tree:	🌴
\bigblacktriangledown	▼
\:face_with_head_bandage:	🤕
\dotplus	∔
\opluslhrim	⨭
\:busts_in_silhouette:	👥
\:thinking_face:	🤔
\mdwhtdiamond	⬦
\itT	𝑇
\:bento:	🍱
\:shark:	🦈
\diamondtopblack	⬘
\ttE	𝙴
\:rewind:	⏪
\bbj	𝕛
\bfA	𝐀
\bsansa	𝗮
\VDash	⊫
\upomicron	ο
\bscro	𝓸
\bsansT	𝗧
\bisansC	𝘾
\:princess:	👸
\rsqhook	⫎
\palh	̡
\trnm	ɯ
\:v:	✌
\^6	⁶
\bfrakD	𝕯
\:clap:	👏
\bscry	𝔂
\upsampi	ϡ
\:arrow_upper_right:	↗
\:black_heart:	🖤
\itDelta	𝛥
\:sneezing_face:	🤧
\geqqslant	⫺
\:card_index:	📇
\:pray:	🙏
\bsansfour	𝟰
\^y	ʸ
\binabla	𝜵
\bisansupsilon	𝞾
\:sheep:	🐑
\rtls	ʂ
\bfPi	𝚷
\itQ	𝑄
\preccurlyeq	≼
\nvrightarrowtail	⤔
\:girl:	👧
\:tm:	™
\:fries:	🍟
\bfE	𝐄
\otimes	⊗
\bfM	𝐌
\bichi	𝝌
\_t	ₜ
\:atm:	🏧
\vartriangleleft	⊲
\:raccoon:	🦝
\:bomb:	💣
\NotSquareSuperset	⊐̸
\:arrow_lower_right:	↘
\:full_moon_with_face:	🌝
\bsanszeta	𝝵
\ltlmr	ɱ
\Psi	Ψ
\squareurblack	⬔
\scrb	𝒷
\ominus	⊖
\bbm	𝕞
\grave	̀
\scrv	𝓋
\:whale:	🐳
\:black_medium_small_square:	◾
\:one-piece_swimsuit:	🩱
\rightpentagonblack	⭓
\:triangular_flag_on_post:	🚩
\bfone	𝟏
\lesges	⪓
\:person_in_lotus_position:	🧘
\bowtie	⋈
\bbU	𝕌
\prod	∏
\bfraku	𝖚
\biUpsilon	𝜰
\lgblksquare	⬛
\sansn	𝗇
\:do_not_litter:	🚯
\:flower_playing_cards:	🎴
\:sunglasses:	😎
\:books:	📚
\:golf:	⛳
\downwhitearrow	⇩
\big	𝒈
\:guardsman:	💂
\:people_hugging:	🫂
\succcurlyeq	≽
\:symbols:	🔣
\bscrw	𝔀
\scrW	𝒲
\_)	₎
\:prayer_beads:	📿
\not	̸
\frako	𝔬
\bigoplus	⨁
\:negative_squared_cross_mark:	❎
\circledequal	⊜
\rightanglemdot	⦝
\biAlpha	𝜜
\:red_circle:	🔴
\neq	≠
\ohm	Ω
\:bust_in_silhouette:	👤
\bsansd	𝗱
\H	̋
\bisanschi	𝟀
\:goat:	🐐
\2/3	⅔
\:superhero:	🦸
\upstigma	ϛ
\digamma	ϝ
\bsanseta	𝝶
\sansV	𝖵
\:arrow_right:	➡
\:lemon:	🍋
\bfrakr	𝖗
\bfseven	𝟕
\:imp:	👿
\biT	𝑻
\divideontimes	⋇
\:sleepy:	😪
\:u7533:	🈸
\bbG	𝔾
\disin	⋲
\gsime	⪎
\NotNestedGreaterGreater	⪢̸
\jmath	ȷ
\lgwhtcircle	◯
\blackinwhitesquare	▣
\bfraky	𝖞
\diagdown	╲
\doteq	≐
\bsansgamma	𝝲
\:arrow_upper_left:	↖
\bigslopedwedge	⩘
\supsup	⫖
\upint	⨛
\:tv:	📺
\:garlic:	🧄
\:secret:	㊙
\bscrT	𝓣
\bigcup	⋃
\simeq	≃
\vysmblkcircle	∙
\:foot:	🦶
\gvertneqq	≩︀
\bsansr	𝗿
\:kaaba:	🕋
\bisanstheta	𝞱
\:trumpet:	🎺
\bfrakp	𝖕
\triangleleftblack	◭
\bfT	𝐓
\varhexagonblack	⬢
\:strawberry:	🍓
\:green_salad:	🥗
\llarc	◟
\bscri	𝓲
\iff	⟺
\isansm	𝘮
\lllnest	⫷
\nand	⊼
\backprime	‵
\lambda	λ
\starequal	≛
\blanksymbol	␢
\triangledown	▿
\:large_red_square:	🟥
\closedvarcap	⩍
\itd	𝑑
\iteta	𝜂
\bfrakb	𝖇
\pbgam	ɤ
\isindot	⋵
\blacktriangleleft	◀
\eqqless	⪙
\bisansb	𝙗
\bfrakl	𝖑
\:manual_wheelchair:	🦽
\cong	≅
\:mouse_trap:	🪤
\varsupsetneq	⊋︀
\:lotion_bottle:	🧴
\:gem:	💎
\pppprime	⁗
\:love_letter:	💌
\bisanss	𝙨
\low	˕
\eqvparsl	⧥
\medwhitestar	⭐
\isansb	𝘣
\:skin-tone-4:	🏽
\measangleultonw	⦭
\bigsqcap	⨅
\supsub	⫔
\sun	☼
\:point_up:	☝
\lazysinv	∾
\rh	̢
\asteq	⩮
\itV	𝑉
\:mega:	📣
\:rose:	🌹
\vysmwhtsquare	⬞
\bsansbeta	𝝱
\biE	𝑬
\:water_polo:	🤽
\:arrow_up_down:	↕
\:ophiuchus:	⛎
\bisansGamma	𝞒
\:tiger2:	🐅
\:+1:	👍
\:leafy_green:	🥬
\:worm:	🪱
\sqcap	⊓
\:department_store:	🏬
\:fork_and_knife:	🍴
\succnapprox	⪺
\bbsix	𝟞
\bfW	𝐖
\:helicopter:	🚁
\bbe	𝕖
\^s	ˢ
\isansf	𝘧
\ttL	𝙻
\:fish:	🐟
\^9	⁹
\:cold_face:	🥶
\approxeq	≊
\_h	ₕ
\dlcorn	⎣
\:large_blue_square:	🟦
\rightarrowbar	⇥
\:snail:	🐌
\hermitconjmatrix	⊹
\:ticket:	🎫
\notslash	⌿
\:trolleybus:	🚎
\rightarrow	→
\bisigma	𝝈
\frakB	𝔅
\rightpentagon	⭔
\Mapsfrom	⤆
\:recycle:	♻
\circletophalfblack	◓
\1/3	⅓
\:bus:	🚌
\:deciduous_tree:	🌳
\_l	ₗ
\viewdata	⌗
\overbar	̅
\ttv	𝚟
\diamondleftarrowbar	⤟
\bisansO	𝙊
\zeta	ζ
\:heavy_plus_sign:	➕
\:crying_cat_face:	😿
\:boar:	🐗
\bbPi	ℿ
\:coffee:	☕
\itv	𝑣
\:briefcase:	💼
\:cherry_blossom:	🌸
\^O	ᴼ
\lpargt	⦠
\bscrm	𝓶
\:two_men_holding_hands:	👬
\^7	⁷
\:sa:	🈂
\candra	̐
\triangleplus	⨹
\:diamonds:	♦
\:notes:	🎶
\bbI	𝕀
\:skin-tone-6:	🏿
\sansP	𝖯
\bffour	𝟒
\tteight	𝟾
\bisanslambda	𝞴
\yogh	ʒ
\:stuck_out_tongue_winking_eye:	😜
\bsansi	𝗶
\:two_hearts:	💕
\glst	ʔ
\annuity	⃧
\:zap:	⚡
\sanssix	𝟨
\blackrighthalfcircle	◗
\:mount_fuji:	🗻
\minusdot	⨪
\revangle	⦣
\:capital_abcd:	🔠
\gtrdot	⋗
\circledR	®
\nVdash	⊮
\veeodot	⩒
\biupsilon	𝝊
\:back:	🔙
\nsime	≄
\:penguin:	🐧
\NotRightTriangleBar	⧐̸
\:couplekiss:	💏
\Digamma	Ϝ
\bfC	𝐂
\verti	ˌ
\Rrightarrow	⇛
\eqless	⋜
\itsigma	𝜎
\toea	⤨
\itf	𝑓
\:no_mobile_phones:	📵
\frakd	𝔡
\seovnearrow	⤭
\openo	ɔ
\gneqq	≩
\:poodle:	🐩
\downvDash	⫪
\dingasterisk	✽
\:school_satchel:	🎒
\:alien:	👽
\:minibus:	🚐
\1/4	¼
\rceil	⌉
\lesdoto	⪁
\bisansphi	𝟇
\leftarrowonoplus	⬲
\bivarphi	𝝋
\:large_blue_circle:	🔵
\itbeta	𝛽
\upin	⟒
\longrightsquigarrow	⟿
\gtcir	⩺
\_e	ₑ
\:construction:	🚧
\varkappa	ϰ
\sansd	𝖽
\cbrt	∛
\biF	𝑭
\bscru	𝓾
\biOmicron	𝜪
\:stew:	🍲
\:bathtub:	🛁
\:poultry_leg:	🍗
\_(	₍
\:orange_book:	📙
\fhr	ɾ
\:fist:	✊
\:basketball:	🏀
\sansU	𝖴
\bisansN	𝙉
\blackcircleulquadwhite	◕
\:o2:	🅾
\^!	ꜝ
\:child:	🧒
\bieta	𝜼
\oslash	⊘
\itZeta	𝛧
\itEpsilon	𝛦
\:hotdog:	🌭
\sansp	𝗉
\itY	𝑌
\bsanszero	𝟬
\:mountain_cableway:	🚠
\sblhr	˓
\simminussim	⩬
\bsansA	𝗔
\join	⨝
\bot	⊥
\:large_yellow_circle:	🟡
\:tram:	🚊
\gnsim	⋧
\Chi	Χ
\biO	𝑶
\sqfl	◧
\:pound:	💷
\scrX	𝒳
\:radio_button:	🔘
\:military_helmet:	🪖
\_m	ₘ
\models	⊧
\:eight_spoked_asterisk:	✳
\lneqq	≨
\trnrl	ɺ
\:muscle:	💪
\bbx	𝕩
\:bikini:	👙
\:stars:	🌠
\:basket:	🧺
\ttF	𝙵
\:glass_of_milk:	🥛
\mlcp	⫛
\leftsquigarrow	⇜
\:oncoming_automobile:	🚘
\1/8	⅛
\:metro:	🚇
\blacktriangleright	▶
\^4	⁴
\pitchfork	⋔
\bisanskappa	𝞳
\:shallow_pan_of_food:	🥘
\blockqtrshaded	░
\bsansPi	𝝥
\sansseven	𝟩
\leftarrowbsimilar	⭋
\:cricket:	🦗
\sqsubseteq	⊑
\Updownarrow	⇕
\:clock9:	🕘
\Theta	Θ
\:cake:	🍰
\rightmoon	☽
\bscrV	𝓥
\ttc	𝚌
\:chicken:	🐔
\:white_circle:	⚪
\fltns	⏥
\bbN	ℕ
\smile	⌣
\0/3	↉
\rdq	”
\bitau	𝝉
\lq	‘
\mapsfrom	↤
\perp	⟂
\bitheta	𝜽
\:izakaya_lantern:	🏮
\biS	𝑺
\timesbar	⨱
\bik	𝒌
\bigtimes	⨉
\:mage:	🧙
\:safety_pin:	🧷
\bsansI	𝗜
\leftharpoondown	↽
\alpha	α
\between	≬
\frown	⌢
\RoundImplies	⥰
\blockthreeqtrshaded	▓
\:white_large_square:	⬜
\bsansthree	𝟯
\:candy:	🍬
\bfvarkappa	𝛞
\:chair:	🪑
\fraki	𝔦
\tilde	̃
\upNu	Ν
\sansg	𝗀
\bisansh	𝙝
\:facepunch:	👊
\itimath	𝚤
\:womens:	🚺
\rightleftarrows	⇄
\:syringe:	💉
\sumint	⨋
\fdiagovnearrow	⤯
\plussubtwo	⨧
\bfQ	𝐐
\biw	𝒘
\bfo	𝐨
\nleftrightarrow	↮
\scrs	𝓈
\:bacon:	🥓
\Im	ℑ
\bsansK	𝗞
\:merperson:	🧜
\bisansvarrho	𝟈
\whtvertoval	⬯
\:window:	🪟
\smallin	∊
\:corn:	🌽
\ttW	𝚆
\bfrakV	𝖁
\smallblacktriangleright	▸
\:clipboard:	📋
\leftwhitearrow	⇦
\bsansChi	𝝬
\ge	≥
\rttrnr	ɻ
\squareulquad	◰
\amalg	⨿
\biKappa	𝜥
\turnangle	⦢
\:kiss:	💋
\wideutilde	̰
\trianglerightblack	◮
\bfr	𝐫
\frakM	𝔐
\uparrow	↑
\nvleftarrowtail	⬹
\:magic_wand:	🪄
\_4	₄
\biXi	𝜩
\bisansvarpi	𝟉
\plussim	⨦
\rvboxline	⎹
\bfnu	𝛎
\:blue_book:	📘
\sterling	£
\bscrs	𝓼
\frakU	𝔘
\nVDash	⊯
\nvRightarrow	⤃
\downharpoonsleftright	⥥
\yen	¥
\bbB	𝔹
\isanss	𝘴
\theta	θ
\bfZ	𝐙
\:swimmer:	🏊
\bftau	𝛕
\male	♂
\:chart:	💹
\LeftUpVectorBar	⥘
\:crab:	🦀
\1/	⅟
\bfrakm	𝖒
\bigslopedvee	⩗
\blocklowhalf	▄
\forks	⫝̸
\Alpha	Α
\:footprints:	👣
\scrc	𝒸
\:fire:	🔥
\bbK	𝕂
\psi	ψ
\:video_game:	🎮
\gesdotol	⪄
\fraks	𝔰
\botsemicircle	◡
\:man_dancing:	🕺
\updownharpoonrightleft	⥌
\bisansj	𝙟
\Sampi	Ϡ
\olessthan	⧀
\star	⋆
\overleftarrow	⃖
\bsanseight	𝟴
\Downarrow	⇓
\:clock2:	🕑
\bfS	𝐒
\:clock7:	🕖
\:knot:	🪢
\^J	ᴶ
\Longmapsto	⟾
\gesdot	⪀
\bsansz	𝘇
\itrho	𝜌
\rtld	ɖ
\NotLessLess	≪̸
\:brain:	🧠
\bsansseven	𝟳
\sbbrg	̪
\visiblespace	␣
\:vs:	🆚
\glE	⪒
\squarebotblack	⬓
\gtreqless	⋛
\dottimes	⨰
\twocaps	⩋
\:sled:	🛷
\biB	𝑩
\frakN	𝔑
\bsansupsilon	𝞄
\:feet:	🐾
\Elroang	⦆
\forksnot	⫝
\asteraccent	⃰
\leftharpoonupdash	⥪
\:pinching_hand:	🤏
\^D	ᴰ
\Angle	⦜
\:cow2:	🐄
\wedgemidvert	⩚
\:champagne:	🍾
\dicev	⚄
\ReverseUpEquilibrium	⥯
\2/5	⅖
\_3	₃
\bisansH	𝙃
\bisansL	𝙇
\:hotel:	🏨
\scrk	𝓀
\:smile_cat:	😸
\bsansW	𝗪
\varisins	⋳
\rightleftharpoons	⇌
\blacksmiley	☻
\ddfnc	⦙
\bfgamma	𝛄
\:tangerine:	🍊
\isansP	𝘗
\scrg	ℊ
\:birthday:	🎂
\ttB	𝙱
\isanse	𝘦
\rais	˔
\frakk	𝔨
\nVtwoheadleftarrow	⬵
\ttI	𝙸
\checkmark	✓
\bbh	𝕙
\itA	𝐴
\bfrakn	𝖓
\:parrot:	🦜
\rl	ɼ
\leftarrowless	⥷
\:abc:	🔤
\bisansXi	𝞝
\nsubseteqq	⫅̸
\bfrho	𝛒
\sansZ	𝖹
\bbiD	ⅅ
\:large_blue_diamond:	🔷
\scrn	𝓃
\isansd	𝘥
\:firecracker:	🧨
\:bat:	🦇
\:wheelchair:	♿
\obar	⌽
\:free:	🆓
\:motorized_wheelchair:	🦼
\3/4	¾
\prurel	⊰
\rvbull	◘
\bsansk	𝗸
\:waffle:	🧇
\verts	ˈ
\perthousand	‰
\bfK	𝐊
\:ok:	🆗
\scrY	𝒴
\scrt	𝓉
\isansy	𝘺
\Vert	‖
\bsansDelta	𝝙
\:persevere:	😣
\:pineapple:	🍍
\:tea:	🍵
\bivarTheta	𝜭
\:crossed_flags:	🎌
\ocommatopright	̕
\bfLambda	𝚲
\_k	ₖ
\:low_brightness:	🔅
\perspcorrespond	⩞
\twoheadrightarrow	↠
\plustrif	⨨
\biV	𝑽
\:smile:	😄
\bsanslambda	𝝺
\bfpartial	𝛛
\c	̧
\blackpointerleft	◄
\:hiking_boot:	🥾
\upwhitearrow	⇧
\bsansvarpi	𝞏
\bft	𝐭
\:arrow_double_down:	⏬
\sqrt	√
\:hourglass:	⌛
\plusdot	⨥
\bigodot	⨀
\bsimilarleftarrow	⭁
\varTheta	ϴ
\bbQ	ℚ
\bfxi	𝛏
\biLambda	𝜦
\^m	ᵐ
\:lying_face:	🤥
\:clock430:	🕟
\ltcc	⪦
\medblackstar	⭑
\itU	𝑈
\:vhs:	📼
\Rightarrow	⇒
\bsansvarkappa	𝞌
\:congratulations:	㊗
\:billed_cap:	🧢
\:shorts:	🩳
\scra	𝒶
\itp	𝑝
\:black_medium_square:	◼
\aleph	ℵ
\bsansnabla	𝝯
\:violin:	🎻
\xi	ξ
\lessapprox	⪅
\:anchor:	⚓
\bisansnu	𝞶
\to	→
\itPsi	𝛹
\tti	𝚒
\:purse:	👛
\:orangutan:	🦧
\:toilet:	🚽
\^o	ᵒ
\upoldkoppa	ϙ
\scrN	𝒩
\:joy:	😂
\:hook:	🪝
\pm	±
\bfXi	𝚵
\prec	≺
\disjquant	⨈
\:gift:	🎁
\:bell_pepper:	🫑
\:ear:	👂
\:arrow_heading_down:	⤵
\measuredangleleft	⦛
\bsansS	𝗦
\bfJ	𝐉
\bbv	𝕧
\:egg:	🥚
\bisansmu	𝞵
\:shell:	🐚
\:shopping_trolley:	🛒
\:zombie:	🧟
\downharpoonleft	⇃
\phi	ϕ
\:oyster:	🦪
\:clock130:	🕜
\lozenge	◊
\circledparallel	⦷
\nvleftrightarrow	⇹
\itF	𝐹
\ito	𝑜
\itUpsilon	𝛶
\:left_luggage:	🛅
\invv	ʌ
\subseteqq	⫅
\blockfull	█
\:fox_face:	🦊
\:christmas_tree:	🎄
\:pear:	🍐
\widebridgeabove	⃩
\:angel:	👼
\:newspaper:	📰
\:horse_racing:	🏇
\sphericalangleup	⦡
\bfb	𝐛
\bisansTau	𝞣
\bsansAlpha	𝝖
\:point_up_2:	👆
\heartsuit	♡
\bsansH	𝗛
\:vertical_traffic_light:	🚦
\circledstar	✪
\subset	⊂
\bsanstau	𝞃
\:heavy_multiplication_x:	✖
\venus	♀
\thinspace	 
\fallingdotseq	≒
\partialmeetcontraction	⪣
\:slightly_frowning_face:	🙁
\squarecrossfill	▩
\:snowman_without_snow:	⛄
\frakC	ℭ
\approx	≈
\bscrO	𝓞
\ntriangleleft	⋪
\barvee	⊽
\invwhitelowerhalfcircle	◛
\:long_drum:	🪘
\partial	∂
\pluto	♇
\wedgedoublebar	⩠
\eqqslantgtr	⪜
\kappa	κ
\:headstone:	🪦
\:u5272:	🈹
\:hamster:	🐹
\mdsmwhtsquare	◽
\frakx	𝔵
\whthorzoval	⬭
\bisansvarepsilon	𝞮
\blocklefthalf	▌
\sansq	𝗊
\Vvdash	⊪
\:juggling:	🤹
\sansE	𝖤
\:surfer:	🏄
\:bearded_person:	🧔
\questeq	≟
\wp	℘
\:gloves:	🧤
\bfomicron	𝛐
\:door:	🚪
\:clock11:	🕚
\:large_yellow_square:	🟨
\bisansgamma	𝞬
\:clapper:	🎬
\ttO	𝙾
\:face_with_symbols_on_mouth:	🤬
\bfrakS	𝕾
\:radio:	📻
\:auto_rickshaw:	🛺
\NotGreaterGreater	≫̸
\bsansB	𝗕
\bsansX	𝗫
\:bookmark_tabs:	📑
\LLeftarrow	⭅
\trnmlr	ɰ
\:giraffe_face:	🦒
\:hand:	✋
\ttz	𝚣
\:rowboat:	🚣
\:peacock:	🦚
\:large_orange_square:	🟧
\intcup	⨚
\lneq	⪇
\^e	ᵉ
\:hot_face:	🥵
\:rock:	🪨
\^delta	ᵟ
\varheartsuit	♥
\:saxophone:	🎷
\bigstar	★
\:breast-feeding:	🤱
\smblkdiamond	⬩
\tdcol	⫶
\ngeq	≱
\supseteq	⊇
\bisansG	𝙂
\:information_desk_person:	💁
\:page_facing_up:	📄
\itXi	𝛯
\varrho	ϱ
\neptune	♆
\lgblkcircle	⬤
\:book:	📖
\dots	…
\longleftrightarrow	⟷
\scrH	ℋ
\:beer:	🍺
\:leg:	🦵
\:anger:	💢
\bipsi	𝝍
\:airplane_departure:	🛫
\:clock230:	🕝
\isins	⋴
\bsansIota	𝝞
\:melon:	🍈
\:red_envelope:	🧧
\gescc	⪩
\threedangle	⟀
\:blossom:	🌼
\sansB	𝖡
\_o	ₒ
\biTau	𝜯
\:u6709:	🈶
\diagup	╱
\:gun:	🔫
\:small_red_triangle:	🔺
\isansi	𝘪
\rightwavearrow	↝
\nexists	∄
\nVleftarrowtail	⬺
\:kite:	🪁
\bsansZeta	𝝛
\underbrace	⏟
\circleurquadblack	◔
\:ice_cream:	🍨
\:purple_heart:	💜
\boxplus	⊞
\:water_buffalo:	🐃
\^x	ˣ
\:clock930:	🕤
\oplusrhrim	⨮
\biChi	𝜲
\^uparrow	ꜛ
\ultriangle	◸
\bsansG	𝗚
\OE	Œ
\capricornus	♑
\underbracket	⎵
\bfN	𝐍
\bsanstwo	𝟮
\:ant:	🐜
\:heartbeat:	💓
\:olive:	🫒
\:kneeling_person:	🧎
\:couple:	👫
\itM	𝑀
\bsansv	𝘃
\:abcd:	🔡
\:lipstick:	💄
\bscrH	𝓗
\bfrakk	𝖐
\:rabbit2:	🐇
\^0	⁰
\enclosecircle	⃝
\bscrQ	𝓠
\:football:	🏈
\modtwosum	⨊
\:ballot_box_with_check:	☑
\:falafel:	🧆
\biiota	𝜾
\^alpha	ᵅ
\measanglerutone	⦨
\:hearts:	♥
\sansLmirrored	⅃
\nvrightarrow	⇸
\pes	₧
\:toolbox:	🧰
\sanstwo	𝟤
\imath	ı
\biZeta	𝜡
\:face_vomiting:	🤮
\frakL	𝔏
\bsansxi	𝝽
\scrU	𝒰
\bfiota	𝛊
\:guitar:	🎸
\:small_red_triangle_down:	🔻
\boxbar	◫
\Ldsh	↲
\bisansalpha	𝞪
\angdnr	⦟
\:email:	✉
\Xi	Ξ
\:exploding_head:	🤯
\:dodo:	🦤
\veebar	⊻
\nsuccsim	≿̸
\bsansN	𝗡
\bisansy	𝙮
\tto	𝚘
\bsanspi	𝝿
\frakr	𝔯
\leftdasharrow	⇠
\bfrakQ	𝕼
\:flushed:	😳
\triangletimes	⨻
\:croissant:	🥐
\:ear_with_hearing_aid:	🦻
\closedvarcup	⩌
\:pie:	🥧
\bbH	ℍ
\:hospital:	🏥
\_gamma	ᵧ
\lrtriangle	◿
\:point_down:	👇
\:owl:	🦉
\congdot	⩭
\:ribbon:	🎀
\minusrdots	⨬
\bscrf	𝓯
\bfbeta	𝛃
\bsansF	𝗙
\eqqplus	⩱
\bisansp	𝙥
\barleftarrow	⇤
\bscrr	𝓻
\ttsix	𝟼
\isansN	𝘕
\itLambda	𝛬
\equivDD	⩸
\bbthree	𝟛
\biM	𝑴
\:crystal_ball:	🔮
\:european_castle:	🏰
\Finv	Ⅎ
\Top	⫪
\:clubs:	♣
\:rugby_football:	🏉
\itw	𝑤
\:smirk:	😏
\:u5408:	🈴
\:raised_hands:	🙌
\bsanst	𝘁
\:calendar:	📆
\:lock:	🔒
\bsansnu	𝝼
\smalltriangleleft	◃
\isansO	𝘖
\bsansL	𝗟
\nLeftarrow	⇍
\bie	𝒆
\:ocean:	🌊
\rightleftharpoonsdown	⥩
\acute	́
\bsansl	𝗹
\Nearrow	⇗
\biu	𝒖
\:nail_care:	💅
\bigtriangledown	▽
\:the_horns:	🤘
\Longleftarrow	⟸
\square	□
\sansh	𝗁
\circledrightdot	⚆
\:kissing_smiling_eyes:	😙
\:baby_symbol:	🚼
\isanso	𝘰
\Longmapsfrom	⟽
\:large_green_square:	🟩
\Yup	⅄
\:sari:	🥻
\scrZ	𝒵
\itvarrho	𝜚
\clubsuit	♣
\:clock530:	🕠
\Stigma	Ϛ
\5/8	⅝
\:hocho:	🔪
\:pouch:	👝
\bsansC	𝗖
\downdownarrows	⇊
\^f	ᶠ
\lowint	⨜
\emptyset	∅
\sansM	𝖬
\bsansp	𝗽
\blacklozenge	⧫
\itvarphi	𝜑
\:blush:	😊
\bisansn	𝙣
\isansV	𝘝
\ttp	𝚙
\:high_heel:	👠
\:wedding:	💒
\beth	ℶ
\:wavy_dash:	〰
\itj	𝑗
\:face_with_raised_eyebrow:	🤨
\:train2:	🚆
\itpi	𝜋
\bfrakt	𝖙
\sansG	𝖦
\_-	₋
\sqsupsetneq	⋥
\bfsigma	𝛔
\:computer:	💻
\turnk	ʞ
\bigcupdot	⨃
\itE	𝐸
\ith	ℎ
\iiint	∭
\threeunderdot	⃨
\:euro:	💶
\:frog:	🐸
\:axe:	🪓
\frakF	𝔉
\lvboxline	⎸
\:ng:	🆖
\midbarwedge	⩜
\sqcup	⊔
\bikappa	𝜿
\Longrightarrow	⟹
